species,distance_to_sister,divergence_time
albicans,1.70257619802143,0.67955
alborufescens,1.71015926228141,10.93239
amnicola,1.38402802820357,2.62148
angelana,2.00998662852726,3.29153
argyrophylla,1.59844488064534,1.43837
atlantica,1.32510210520189,4.41058
baumgratziana,1.14508271920834,2.4293
brunnea,0.313010382805268,0.97078
budlejoides,0.493992154691131,4.24525
burchellii,0.340794890624622,1.05555
capixaba,2.33507885561116,4.08538
castaneiflora,0.358773891884596,2.81281
chrysophylla,1.60625054309541,0.90885
cinerascens,1.05740060319984,4.41583
cipoensis,0.730647198178873,8.56953
corallina,0.457526203754613,1.20225
cowanii,1.38402802820357,2.62148
cubatanensis,1.70405106134863,3.15149
cyathanthera,0.730647198178873,8.56953
dichrophylla,1.60625054309541,0.90885
discolor,0.493992154691131,4.24525
dispar,1.90469194727057,4.23374
dura,1.32510210520189,4.41058
fallax,1.55499268623385,9.53366
fasciculata,0.888877451359687,3.26778
ferruginata,0.340794890624622,1.05555
flammea,0.311623710912902,0.57691
formosa,1.05740060319984,4.41583
heliotropoides,0.21309066267205,7.45612
hyemalis,0.804635073474562,0.99216
hypoleuca,3.37324281011494,6.9878
kollmannii,0.420503133647503,4.00818
kriegeriana,1.09058988916724,0.85955
lepidota,0.923814853604681,1.36567
longispicata,0.172329502727937,10.85485
lourteigiana,1.70257619802143,0.67955
lymanii,0.804635073474562,0.99216
macrothyrsa,0.21309066267205,7.45612
macuxi,1.0644678587624,4.8396
mayarae,1.59844488064534,1.43837
mellina,1.06718332796819,8.37958
multispicata,1.18566310518397,6.26071
navioensis,1.32390504638441,4.44756
octopetala,2.33507885561116,4.08538
penduliflora,0.905502695055481,3.65637
pepericarpa,0.580628719517396,4.7767
petroniana,0.559981657913523,1.97987
polyandra,1.09058988916724,0.85955
pterocaulon,1.60700378083586,6.31753
punctata,0.371212422740001,4.76812
racemifera,0.888877451359687,3.26778
robusta,0.470565026593057,1.48598
rondoniensis,1.56762755583152,4.31489
rufescens,1.8967315747877,4.84062
ruficalyx,0.672440053881255,3.66009
ruschiana,1.14508271920834,2.4293
sclerophylla,0.457526203754613,1.20225
secundiflora,2.36020343845064,1.65735
serialis,2.36020343845064,1.65735
setosociliata,1.70405106134863,3.15149
shepherdii,0.559981657913523,1.97987
stenostachya,1.94852992043699,7.51608
suberosa,0.172329502727937,10.85485
tiliifolia,1.8967315747877,4.84062
valtheri,1.56762755583152,4.31489
willdenowii,0.311623710912902,0.57691
