state,mean_no,intercept_no
AF,0.785913212034684,0.868249718241205
AFother,0.65818144041708,0.586544734275544
other,0.5311863236521,0.620184707973491
AF,0.782331544415444,0.838909408105384
AFother,0.668980533841294,0.614994040752144
other,0.529081316869553,0.560305366744863
AF,0.790835560470735,0.697654275202551
AFother,0.63972194843296,0.600026573435361
other,0.527287647975579,0.621192460625445
AF,0.76930413494108,0.917541460504914
AFother,0.669429096280933,0.605106531566351
other,0.534577634463158,0.684047823562279
AF,0.766951394422085,0.643878024506193
AFother,0.65943085698149,0.57276809531624
other,0.530376636157156,0.620404113594193
AF,0.78188650791697,0.792874391178699
AFother,0.669215249125514,0.57885951876324
other,0.540404445170647,0.655469651174923
AF,0.764331978377152,0.801514781275316
AFother,0.666719335873649,0.623078884204067
other,0.478119728332914,0.631206817205697
AF,0.780987358455265,0.734579693686857
AFother,0.651438743249035,0.542653708140316
other,0.528535793252078,0.592925896687983
AF,0.765457947899541,0.784091552951288
AFother,0.669213266186513,0.565275473297178
other,0.492604961068823,0.631640555959374
AF,0.779127795201391,0.690171708979052
AFother,0.652481997647329,0.56385680624389
other,0.571973145256862,0.689914368678573
AF,0.785701642872343,0.796383493367156
AFother,0.670888435275373,0.592593881707533
other,0.52930877987639,0.577578602884402
AF,0.779931135505896,0.705401147499486
AFother,0.655952832680308,0.632087611110089
other,0.529143604627949,0.633911786804986
AF,0.787196892733669,0.833706080851009
AFother,0.629625260154661,0.562027386315291
other,0.530102849048976,0.593545813746825
AF,0.770595573027403,0.754071369284402
AFother,0.61579115049533,0.593872338532861
other,0.568499918511472,0.670265210752204
AF,0.767589316559424,0.756667361975858
AFother,0.626559067824065,0.573663490121732
other,0.491758863918295,0.585189238148927
AF,0.763159275701662,0.932077672075105
AFother,0.665213303543487,0.629560730418747
other,0.495686432454396,0.629846495672896
AF,0.783474459703812,0.768520109243698
AFother,0.612388203284625,0.604666240320677
other,0.526398083707251,0.576880582031632
AF,0.779790267301422,0.751492701693397
AFother,0.622278785361488,0.591298354179789
other,0.528277019472187,0.592299850454012
AF,0.769875125181873,0.84115677910197
AFother,0.656316138700444,0.591136735977121
other,0.493711624492089,0.605532259870896
AF,0.790255010346015,0.735332112159621
AFother,0.67268456361381,0.561771596393304
other,0.568022052476589,0.680105106248637
AF,0.768016481360254,0.91140562889
AFother,0.625181810630635,0.602004736547073
other,0.4938020529692,0.647209081802714
AF,0.778823810093062,0.796549673933857
AFother,0.624563886286608,0.584534147702209
other,0.575348089614013,0.627243452804537
AF,0.787116333983371,0.673299421607721
AFother,0.669609223653403,0.573701277059557
other,0.525539249293541,0.633394687542839
AF,0.779404668215579,0.816538889238319
AFother,0.624239993448134,0.536244110216797
other,0.513110950724044,0.633369954944416
