model_name,lnlik,n_par,aic,aicc
sd,-169.131605185114,6,350.263210370228,351.686939183787
sd,-196.926123402215,6,405.85224680443,407.275975617989
d,-169.949324061465,5,349.89864812293,350.89864812293
d,-181.101420830064,5,372.202841660128,373.202841660128
d,-220.52086839654,5,451.04173679308,452.04173679308
d,-203.103077532955,5,416.20615506591,417.20615506591
sd,-184.601626996021,6,381.203253992042,382.626982805601
sd,-189.176565901586,6,390.353131803172,391.776860616731
sd,-214.06906134894,6,440.13812269788,441.561851511439
sd,-183.763903484346,6,379.527806968692,380.951535782251
d,-190.257217029147,5,390.514434058294,391.514434058294
d,-191.07389504992,5,392.14779009984,393.14779009984
sd,-185.318071112451,6,382.636142224902,384.059871038461
d,-199.906199992868,5,409.812399985736,410.812399985736
sd,-185.624129011604,6,383.248258023208,384.671986836767
sd,-187.045001545945,6,386.09000309189,387.513731905449
sd,-193.83748281544,6,399.67496563088,401.098694444439
sd,-183.743543293332,6,379.487086586664,380.910815400223
sd,-198.360010812871,6,408.720021625742,410.143750439301
sd,-173.759888562235,6,359.51977712447,360.943505938029
sd,-183.963206910271,6,379.926413820542,381.350142634101
d,-182.350213910907,5,374.700427821814,375.700427821814
d,-183.679018150248,5,377.358036300496,378.358036300496
d,-189.595498327631,5,389.190996655262,390.190996655262
sd,-170.255180214457,6,352.510360428914,353.934089242473
sd,-191.949675087264,6,395.899350174528,397.323078988087
d,-200.101104158355,5,410.20220831671,411.20220831671
sd,-193.04380274476,6,398.08760548952,399.511334303079
d,-181.696083778103,5,373.392167556206,374.392167556206
sd,-194.220355626262,6,400.440711252524,401.864440066083
d,-185.287105550541,5,380.574211101082,381.574211101082
d,-189.626408225024,5,389.252816450048,390.252816450048
sd,-181.14163329543,6,374.28326659086,375.706995404419
d,-187.74085514016,5,385.48171028032,386.48171028032
d,-190.370319566753,5,390.740639133506,391.740639133506
sd,-181.465462552637,6,374.930925105274,376.354653918833
sd,-190.245726527291,6,392.491453054582,393.915181868141
sd,-189.754131037338,6,391.508262074676,392.931990888235
sd,-188.922793236688,6,389.845586473376,391.269315286935
sd,-192.673689569475,6,397.34737913895,398.771107952509
d,-172.241520056852,5,354.483040113704,355.483040113704
sd,-184.707687461357,6,381.415374922714,382.839103736273
sd,-201.810995691784,6,415.621991383568,417.045720197127
sd,-202.575054346911,6,417.150108693822,418.573837507381
d,-193.260830743398,5,396.521661486796,397.521661486796
sd,-200.118151663585,6,412.23630332717,413.660032140729
d,-183.340011690703,5,376.680023381406,377.680023381406
sd,-182.944966767208,6,377.889933534416,379.313662347975
d,-202.429025108214,5,414.858050216428,415.858050216428
d,-187.351983904822,5,384.703967809644,385.703967809644
sd,-215.218766716114,6,442.437533432228,443.861262245787
sd,-177.841254533348,6,367.682509066696,369.106237880255
sd,-179.35830548636,6,370.71661097272,372.140339786279
sd,-206.942390529642,6,425.884781059284,427.308509872843
sd,-191.380875308313,6,394.761750616626,396.185479430185
d,-185.175552453857,5,380.351104907714,381.351104907714
d,-204.601989272408,5,419.203978544816,420.203978544816
d,-185.651686055866,5,381.303372111732,382.303372111732
sd,-177.406187061539,6,366.812374123078,368.236102936637
sd,-192.553618644938,6,397.107237289876,398.530966103435
d,-189.335105672183,5,388.670211344366,389.670211344366
d,-174.458164286079,5,358.916328572158,359.916328572158
d,-193.073052071825,5,396.14610414365,397.14610414365
d,-182.741508751079,5,375.483017502158,376.483017502158
sd,-183.488939551005,6,378.97787910201,380.401607915569
d,-202.958278632707,5,415.916557265414,416.916557265414
sd,-193.418044805351,6,398.836089610702,400.259818424261
d,-171.386464317795,5,352.77292863559,353.77292863559
d,-192.061639144212,5,394.123278288424,395.123278288424
sd,-182.895674508563,6,377.791349017126,379.215077830685
sd,-187.519214517895,6,387.03842903579,388.462157849349
d,-189.611393557603,5,389.222787115206,390.222787115206
d,-198.70942994581,5,407.41885989162,408.41885989162
sd,-187.593001180148,6,387.186002360296,388.609731173855
sd,-188.88156942703,6,389.76313885406,391.186867667619
sd,-175.607954350253,6,363.215908700506,364.639637514065
sd,-203.553960403243,6,419.107920806486,420.531649620045
sd,-201.932650274642,6,415.865300549284,417.289029362843
sd,-188.708369267712,6,389.416738535424,390.840467348983
sd,-201.393165196979,6,414.786330393958,416.210059207517
d,-188.998699445479,5,387.997398890958,388.997398890958
d,-185.499656356152,5,380.999312712304,381.999312712304
d,-202.147023990577,5,414.294047981154,415.294047981154
sd,-189.937072388469,6,391.874144776938,393.297873590497
sd,-195.529500912434,6,403.059001824868,404.482730638427
sd,-186.053311950901,6,384.106623901802,385.530352715361
sd,-182.312683252082,6,376.625366504164,378.049095317723
sd,-168.956996941516,6,349.913993883032,351.337722696591
d,-201.068171755819,5,412.136343511638,413.136343511638
sd,-191.092951709486,6,394.185903418972,395.609632232531
d,-186.206642607194,5,382.413285214388,383.413285214388
d,-188.104623785061,5,386.209247570122,387.209247570122
d,-188.33974127136,5,386.67948254272,387.67948254272
sd,-198.059792023641,6,408.119584047282,409.543312860841
d,-200.45442500507,5,410.90885001014,411.90885001014
sd,-189.789951300413,6,391.579902600826,393.003631414385
sd,-198.110596010452,6,408.221192020904,409.644920834463
sd,-196.374755112018,6,404.749510224036,406.173239037595
sd,-188.768913163848,6,389.537826327696,390.961555141255
sd,-194.387591977121,6,400.775183954242,402.198912767801
