lnlik,n_par,aic,aicc
d_fit,-170.336975132315,5,350.67395026463,351.67395026463
sd_fit,-169.131605185114,6,350.263210370228,351.686939183787
sxd_fit,-169.131611925609,7,352.263223851218,354.194258333977
d_fit1,-197.981229124609,5,405.962458249218,406.962458249218
sd_fit1,-196.926123402215,6,405.85224680443,407.275975617989
sxd_fit1,-196.926087177387,7,407.852174354774,409.783208837533
d_fit2,-169.949324061465,5,349.89864812293,350.89864812293
sd_fit2,-168.649726121098,6,349.299452242196,350.723181055755
sxd_fit2,-168.650377993429,7,351.300755986858,353.231790469617
d_fit3,-181.101420830064,5,372.202841660128,373.202841660128
sd_fit3,-179.577560920734,6,371.155121841468,372.578850655027
sxd_fit3,-179.001103259306,7,372.002206518612,373.933241001371
d_fit4,-220.52086839654,5,451.04173679308,452.04173679308
sd_fit4,-219.227188849565,6,450.45437769913,451.878106512689
sxd_fit4,-219.227381322221,7,452.454762644442,454.385797127201
d_fit5,-203.103077532955,5,416.20615506591,417.20615506591
sd_fit5,-201.129330555909,6,414.258661111818,415.682389925377
sxd_fit5,-201.130519245774,7,416.261038491548,418.192072974307
d_fit6,-185.645480252022,5,381.290960504044,382.290960504044
sd_fit6,-184.601626996021,6,381.203253992042,382.626982805601
sxd_fit6,-184.595028198081,7,383.190056396162,385.121090878921
d_fit7,-190.043356839179,5,390.086713678358,391.086713678358
sd_fit7,-189.176565901586,6,390.353131803172,391.776860616731
sxd_fit7,-189.174082080354,7,392.348164160708,394.279198643467
d_fit8,-215.15579354843,5,440.31158709686,441.31158709686
sd_fit8,-214.06906134894,6,440.13812269788,441.561851511439
sxd_fit8,-213.853980791927,7,441.707961583854,443.638996066613
d_fit9,-184.810911531268,5,379.621823062536,380.621823062536
sd_fit9,-183.763903484346,6,379.527806968692,380.951535782251
sxd_fit9,-183.763292759744,7,381.526585519488,383.457620002247
d_fit10,-190.257217029147,5,390.514434058294,391.514434058294
sd_fit10,-188.719782653877,6,389.439565307754,390.863294121313
sxd_fit10,-188.720380943074,7,391.440761886148,393.371796368907
d_fit11,-191.07389504992,5,392.14779009984,393.14779009984
