model_name,lnlik,n_par,aic,aicc
sd,-161.910971149888,10,343.821942299776,347.821942299776
sd,-191.366865258369,10,402.733730516738,406.733730516738
sd,-162.490043427362,10,344.980086854724,348.980086854724
sd,-175.521676884129,10,371.043353768258,375.043353768258
sd,-212.20544969401,10,444.41089938802,448.41089938802
sd,-199.364228222578,10,418.728456445156,422.728456445156
sd,-176.928685072019,10,373.857370144038,377.857370144038
d,-186.087510635959,8,388.175021271918,390.701337061392
sd,-205.810834678501,10,431.621669357002,435.621669357002
sd,-177.540190227137,10,375.080380454274,379.080380454274
sd,-183.385451120362,10,386.770902240724,390.770902240724
sd,-186.254682716824,10,392.509365433648,396.509365433648
d,-181.597829176677,8,379.195658353354,381.721974142828
sd,-191.984606040156,10,403.969212080312,407.969212080312
d,-184.293093605082,8,384.586187210164,387.112502999638
d,-182.015534595704,8,380.031069191408,382.557384980882
sd,-187.379742745677,10,394.759485491354,398.759485491354
sd,-177.00819336716,10,374.01638673432,378.01638673432
d,-194.763174479238,8,405.526348958476,408.05266474795
sd,-166.142584392177,10,352.285168784354,356.285168784354
d,-178.65283474812,8,373.30566949624,375.831985285714
sd,-174.729389129817,10,369.458778259634,373.458778259634
sd,-174.833515005312,10,369.667030010624,373.667030010624
sd,-181.41798278412,10,382.83596556824,386.83596556824
sd,-163.215552269888,10,346.431104539776,350.431104539776
d,-186.911156675547,8,389.822313351094,392.348629140568
sd,-190.179946013621,10,400.359892027242,404.359892027242
d,-189.606742453819,8,395.213484907638,397.739800697112
sd,-173.10156944086,10,366.20313888172,370.20313888172
sd,-186.774834376711,10,393.549668753422,397.549668753422
sd,-176.757389450197,10,373.514778900394,377.514778900394
sd,-183.779995808621,10,387.559991617242,391.559991617242
d,-178.667011120067,8,373.334022240134,375.860338029608
d,-185.995814311936,8,387.991628623872,390.517944413346
sd,-181.601331111386,10,383.202662222772,387.202662222772
sd,-171.848901455174,10,363.697802910348,367.697802910348
sd,-184.702175332447,10,389.404350664894,393.404350664894
d,-185.914421451053,8,387.828842902106,390.35515869158
d,-186.594151219719,8,389.188302439438,391.714618228912
d,-188.678743121061,8,393.357486242122,395.883802031596
sd,-166.030986663951,10,352.061973327902,356.061973327902
sd,-177.885516220864,10,375.771032441728,379.771032441728
d,-199.208686682934,8,414.417373365868,416.943689155342
d,-199.615644379109,8,415.231288758218,417.757604547692
sd,-184.589869418192,10,389.179738836384,393.179738836384
d,-193.670314182705,8,403.34062836541,405.866944154884
sd,-174.727322096628,10,369.454644193256,373.454644193256
sd,-174.927830194057,10,369.855660388114,373.855660388114
sd,-190.422470070391,10,400.844940140782,404.844940140782
sd,-178.412751029908,10,376.825502059816,380.825502059816
d,-210.019365759249,8,436.038731518498,438.565047307972
sd,-170.849971705682,10,361.699943411364,365.699943411364
sd,-174.325359973325,10,368.65071994665,372.65071994665
d,-199.642740945658,8,415.285481891316,417.81179768079
d,-187.817649255747,8,391.635298511494,394.161614300968
sd,-176.701921825406,10,373.403843650812,377.403843650812
sd,-193.979431569879,10,407.958863139758,411.958863139758
sd,-179.923073282109,10,379.846146564218,383.846146564218
d,-176.764847471837,8,369.529694943674,372.056010733148
sd,-182.93177549082,10,385.86355098164,389.86355098164
sd,-182.775951773103,10,385.551903546206,389.551903546206
sd,-166.464365784086,10,352.928731568172,356.928731568172
sd,-185.043470930577,10,390.086941861154,394.086941861154
sd,-174.762808372004,10,369.525616744008,373.525616744008
d,-180.853728871068,8,377.707457742136,380.23377353161
sd,-195.974351114659,10,411.948702229318,415.948702229318
sd,-188.716469043571,10,397.432938087142,401.432938087142
sd,-165.29573780871,10,350.59147561742,354.59147561742
sd,-183.452486748404,10,386.904973496808,390.904973496808
d,-182.386825299288,8,380.773650598576,383.29996638805
sd,-179.334035575877,10,378.668071151754,382.668071151754
sd,-182.573922529489,10,385.147845058978,389.147845058978
sd,-190.002818416289,10,400.005636832578,404.005636832578
sd,-183.09936575786,10,386.19873151572,390.19873151572
sd,-182.504626030103,10,385.009252060206,389.009252060206
sd,-166.009400332576,10,352.018800665152,356.018800665152
sd,-198.214201223649,10,416.428402447298,420.428402447298
d,-199.657876506707,8,415.315753013414,417.842068802888
d,-186.913925014718,8,389.827850029436,392.35416581891
d,-196.584358496969,8,409.168716993938,411.695032783412
sd,-180.097432313579,10,380.194864627158,384.194864627158
sd,-177.110205240924,10,374.220410481848,378.220410481848
sd,-194.374005228944,10,408.748010457888,412.748010457888
sd,-183.55497706531,10,387.10995413062,391.10995413062
sd,-190.072305794106,10,400.144611588212,404.144611588212
sd,-180.051315402525,10,380.10263080505,384.10263080505
sd,-175.863709645716,10,371.727419291432,375.727419291432
sd,-163.859941895311,10,347.719883790622,351.719883790622
sd,-193.202762138353,10,406.405524276706,410.405524276706
d,-187.855954017204,8,391.711908034408,394.238223823882
sd,-180.917085427577,10,381.834170855154,385.834170855154
sd,-181.470831284803,10,382.941662569606,386.941662569606
sd,-180.130682928417,10,380.261365856834,384.261365856834
sd,-195.016550039521,10,410.033100079042,414.033100079042
sd,-192.265437309554,10,404.530874619108,408.530874619108
sd,-181.740300482248,10,383.480600964496,387.480600964496
sd,-191.001124299916,10,402.002248599832,406.002248599832
d,-191.438556049893,8,398.877112099786,401.40342788926
d,-186.0512399857,8,388.1024799714,390.628795760874
d,-190.876714482201,8,397.753428964402,400.279744753876
