lnlik,n_par,aic,aicc
d_lin_fit,-167.322801321114,8,350.645602642229,350.329813168544
sd_s_lin_fit,-161.910971149888,10,343.821942299776,343.421942299776
sxd_sx_lin_fit,-160.841072516041,12,345.682145032083,345.191578994347
d_lin_fit1,-195.12909806391,8,406.25819612782,405.942406654136
sd_s_lin_fit1,-191.366865258369,10,402.733730516737,402.333730516737
sxd_sx_lin_fit1,-192.100852586154,12,408.201705172309,407.711139134573
d_lin_fit2,-168.007980118863,8,352.015960237726,351.700170764041
sd_s_lin_fit2,-162.490043427362,10,344.980086854724,344.580086854724
sxd_sx_lin_fit2,-165.499521216635,12,354.99904243327,354.508476395535
d_lin_fit3,-179.273027617593,8,374.546055235185,374.230265761501
sd_s_lin_fit3,-175.521676884129,10,371.043353768259,370.643353768259
sxd_sx_lin_fit3,-175.072810155063,12,374.145620310127,373.655054272391
d_lin_fit4,-216.238828514264,8,448.477657028527,448.161867554843
sd_s_lin_fit4,-212.20544969401,10,444.410899388021,444.010899388021
sxd_sx_lin_fit4,-213.752438841554,12,451.504877683108,451.014311645373
d_lin_fit5,-201.845549966828,8,419.691099933657,419.375310459972
sd_s_lin_fit5,-199.364228222578,10,418.728456445156,418.328456445156
sxd_sx_lin_fit5,-198.307994148718,12,420.615988297437,420.125422259701
d_lin_fit6,-181.374866377553,8,378.749732755107,378.433943281423
sd_s_lin_fit6,-176.928685072019,10,373.857370144038,373.457370144038
sxd_sx_lin_fit6,-178.091453317179,12,380.182906634358,379.692340596622
d_lin_fit7,-186.087510635959,8,388.175021271917,387.859231798233
sd_s_lin_fit7,-182.821078085856,10,385.642156171712,385.242156171713
sxd_sx_lin_fit7,-182.823427422264,12,389.646854844528,389.156288806792
d_lin_fit8,-209.763181428251,8,435.526362856503,435.210573382819
sd_s_lin_fit8,-205.810834678501,10,431.621669357002,431.221669357002
sxd_sx_lin_fit8,-206.000479907248,12,436.000959814497,435.510393776761
d_lin_fit9,-179.978346415682,8,375.956692831365,375.64090335768
sd_s_lin_fit9,-177.540190227137,10,375.080380454273,374.680380454273
sxd_sx_lin_fit9,-177.884025778742,12,379.768051557485,379.277485519749
d_lin_fit10,-188.314126360954,8,392.628252721909,392.312463248225
sd_s_lin_fit10,-183.385451120362,10,386.770902240723,386.370902240723
sxd_sx_lin_fit10,-185.644910217848,12,395.289820435697,394.799254397961
d_lin_fit11,-190.803703045234,8,397.607406090468,397.291616616783
sd_s_lin_fit11,-186.254682716824,10,392.509365433648,392.109365433648
sxd_sx_lin_fit11,-187.176667618701,12,398.353335237402,397.862769199666
d_lin_fit12,-181.597829176677,8,379.195658353354,378.87986887967
sd_s_lin_fit12,-178.347043308694,10,376.694086617388,376.294086617388
sxd_sx_lin_fit12,-178.863925531043,12,381.727851062085,381.23728502435
d_lin_fit13,-198.687289821407,8,413.374579642813,413.058790169129
sd_s_lin_fit13,-191.984606040156,10,403.969212080313,403.569212080313
sxd_sx_lin_fit13,-192.742508595634,12,409.485017191268,408.994451153532
d_lin_fit14,-184.293093605082,8,384.586187210164,384.270397736479
sd_s_lin_fit14,-180.681401011763,10,381.362802023526,380.962802023526
sxd_sx_lin_fit14,-181.357279535895,12,386.714559071791,386.223993034055
d_lin_fit15,-182.015534595704,8,380.031069191408,379.715279717724
sd_s_lin_fit15,-178.988776820969,10,377.977553641937,377.577553641937
sxd_sx_lin_fit15,-179.586860978479,12,383.173721956958,382.683155919222
d_lin_fit16,-196.763677228961,8,409.527354457922,409.211564984238
sd_s_lin_fit16,-187.379742745677,10,394.759485491354,394.359485491354
sxd_sx_lin_fit16,-190.214355516335,12,404.428711032669,403.938144994933
d_lin_fit17,-181.182498770131,8,378.364997540262,378.049208066577
sd_s_lin_fit17,-177.00819336716,10,374.01638673432,373.61638673432
sxd_sx_lin_fit17,-180.29729695921,12,384.59459391842,384.104027880684
d_lin_fit18,-194.763174479238,8,405.526348958476,405.210559484791
sd_s_lin_fit18,-193.512688319898,10,407.025376639795,406.625376639795
sxd_sx_lin_fit18,-192.661801645903,12,409.323603291806,408.833037254071
d_lin_fit19,-170.061657343991,8,356.123314687983,355.807525214299
sd_s_lin_fit19,-166.142584392177,10,352.285168784354,351.885168784354
sxd_sx_lin_fit19,-166.659068463209,12,357.318136926418,356.827570888683
d_lin_fit20,-178.65283474812,8,373.30566949624,372.989880022556
sd_s_lin_fit20,-177.279674427839,10,374.559348855678,374.159348855678
sxd_sx_lin_fit20,-180.995675041197,12,385.991350082393,385.500784044657
d_lin_fit21,-180.195800766784,8,376.391601533568,376.075812059884
sd_s_lin_fit21,-174.729389129817,10,369.458778259634,369.058778259634
sxd_sx_lin_fit21,-175.874852377119,12,375.749704754237,375.259138716501
d_lin_fit22,-180.650679084832,8,377.301358169664,376.98556869598
sd_s_lin_fit22,-174.833515005312,10,369.667030010624,369.267030010624
sxd_sx_lin_fit22,-174.825813360359,12,373.651626720719,373.161060682983
d_lin_fit23,-202.433636173181,8,420.867272346361,420.551482872677
sd_s_lin_fit23,-181.41798278412,10,382.83596556824,382.43596556824
sxd_sx_lin_fit23,-185.107321749951,12,394.214643499901,393.724077462165
d_lin_fit24,-167.348629652834,8,350.697259305668,350.381469831984
sd_s_lin_fit24,-163.215552269888,10,346.431104539777,346.031104539777
sxd_sx_lin_fit24,-164.066529725969,12,352.133059451938,351.642493414202
d_lin_fit25,-186.911156675547,8,389.822313351094,389.506523877409
sd_s_lin_fit25,-186.05758646823,10,392.11517293646,391.71517293646
sxd_sx_lin_fit25,-189.510063144471,12,403.020126288943,402.529560251207
d_lin_fit26,-197.488565363211,8,410.977130726422,410.661341252738
sd_s_lin_fit26,-190.179946013621,10,400.359892027243,399.959892027243
sxd_sx_lin_fit26,-190.93407524054,12,405.86815048108,405.377584443344
d_lin_fit27,-189.606742453819,8,395.213484907638,394.897695433954
sd_s_lin_fit27,-191.625170123925,10,403.250340247851,402.850340247851
sxd_sx_lin_fit27,-188.222484805891,12,400.444969611782,399.954403574046
d_lin_fit28,-178.607315286618,8,373.214630573236,372.898841099552
sd_s_lin_fit28,-173.10156944086,10,366.203138881719,365.803138881719
sxd_sx_lin_fit28,-175.303330670172,12,374.606661340344,374.116095302609
d_lin_fit29,-194.011774910151,8,404.023549820303,403.707760346619
sd_s_lin_fit29,-186.774834376711,10,393.549668753422,393.149668753422
sxd_sx_lin_fit29,-186.775405951354,12,397.550811902707,397.060245864971
d_lin_fit30,-181.392596761302,8,378.785193522603,378.469404048919
sd_s_lin_fit30,-176.757389450197,10,373.514778900394,373.114778900394
sxd_sx_lin_fit30,-177.730329192923,12,379.460658385845,378.97009234811
d_lin_fit31,-188.575784757268,8,393.151569514537,392.835780040853
sd_s_lin_fit31,-183.779995808621,10,387.559991617243,387.159991617243
sxd_sx_lin_fit31,-187.245547282394,12,398.491094564789,398.000528527053
d_lin_fit32,-178.667011120067,8,373.334022240134,373.01823276645
sd_s_lin_fit32,-182.264094955725,10,384.52818991145,384.12818991145
sxd_sx_lin_fit32,-175.903388827053,12,375.806777654106,375.31621161637
d_lin_fit33,-185.995814311936,8,387.991628623872,387.675839150187
sd_s_lin_fit33,-182.601795349465,10,385.203590698931,384.803590698931
sxd_sx_lin_fit33,-182.493090408908,12,388.986180817815,388.495614780079
d_lin_fit34,-187.728663323907,8,391.457326647814,391.14153717413
sd_s_lin_fit34,-181.601331111386,10,383.202662222771,382.802662222771
sxd_sx_lin_fit34,-184.311231341704,12,392.622462683407,392.131896645671
d_lin_fit35,-176.898882002066,8,369.797764004132,369.481974530447
