model_name,lnlik,n_par,aic,aicc
lm,-223.605578680618,5,457.211157361236,458.211157361236
lm,-241.208961072772,5,492.417922145543,493.417922145543
lm,-234.021854101201,5,478.043708202401,479.043708202401
lm,-224.068466971271,5,458.136933942543,459.136933942543
lm,-263.579101004058,5,537.158202008116,538.158202008116
lm,-245.935461953771,5,501.870923907542,502.870923907542
lm,-226.393272712941,5,462.786545425881,463.786545425881
lm,-234.804326744006,5,479.608653488011,480.608653488011
lm,-249.869372305718,5,509.738744611436,510.738744611436
lm,-232.899237373298,5,475.798474746597,476.798474746597
lm,-230.986010704041,5,471.972021408081,472.972021408081
lm,-232.10850466503,5,474.217009330059,475.217009330059
lm,-230.644932441295,5,471.28986488259,472.28986488259
lm,-243.798247290191,5,497.596494580381,498.596494580381
lm,-241.317796707956,5,492.635593415913,493.635593415913
lm,-230.815590025016,5,471.631180050032,472.631180050032
lm,-238.496036329455,5,486.992072658909,487.992072658909
lm,-228.614805886218,5,467.229611772437,468.229611772437
lm,-243.260737634709,5,496.521475269418,497.521475269418
lm,-224.020587583745,5,458.041175167489,459.041175167489
lm,-224.981254684049,5,459.962509368097,460.962509368097
lm,-227.452304407505,5,464.904608815011,465.904608815011
lm,-224.966461177795,5,459.93292235559,460.93292235559
lm,-231.810512398428,5,473.621024796855,474.621024796855
lm,-217.461106910491,5,444.922213820982,445.922213820982
lm,-239.233776057759,5,488.467552115519,489.467552115519
lm,-240.790562074782,5,491.581124149563,492.581124149563
lm,-250.877851958659,5,511.755703917317,512.755703917317
lm,-226.631636753439,5,463.263273506877,464.263273506877
lm,-240.708749101474,5,491.417498202948,492.417498202948
lm,-229.540010589926,5,469.080021179851,470.080021179851
lm,-239.027362767487,5,488.054725534974,489.054725534974
lm,-246.559766855679,5,503.119533711357,504.119533711357
lm,-228.343304818238,5,466.686609636476,467.686609636476
lm,-233.955357059565,5,477.91071411913,478.91071411913
lm,-224.46726920132,5,458.93453840264,459.93453840264
lm,-238.084122029625,5,486.16824405925,487.16824405925
lm,-240.973357442189,5,491.946714884379,492.946714884379
lm,-232.573434193745,5,475.14686838749,476.14686838749
lm,-233.805802631338,5,477.611605262675,478.611605262675
lm,-212.596557771066,5,435.193115542132,436.193115542132
lm,-230.793424374217,5,471.586848748433,472.586848748433
lm,-257.736025905986,5,525.472051811971,526.472051811971
lm,-245.257340542794,5,500.514681085589,501.514681085589
lm,-231.183823082811,5,472.367646165621,473.367646165621
lm,-242.74869426083,5,495.49738852166,496.49738852166
lm,-226.553876155129,5,463.107752310258,464.107752310258
lm,-229.513471660896,5,469.026943321792,470.026943321792
lm,-238.876369247056,5,487.752738494113,488.752738494113
lm,-221.702321769593,5,453.404643539187,454.404643539187
lm,-260.268216953791,5,530.536433907582,531.536433907582
lm,-225.166018929049,5,460.332037858098,461.332037858098
lm,-222.318055846974,5,454.636111693948,455.636111693948
lm,-248.537035086445,5,507.074070172889,508.074070172889
lm,-237.656588748761,5,485.313177497522,486.313177497522
lm,-227.344148040473,5,464.688296080946,465.688296080946
lm,-241.199667508169,5,492.399335016337,493.399335016337
lm,-224.779631322536,5,459.559262645072,460.559262645072
lm,-222.501043507423,5,455.002087014846,456.002087014846
lm,-239.563518218919,5,489.127036437837,490.127036437837
lm,-234.790672054865,5,479.581344109731,480.581344109731
lm,-220.50627225622,5,451.012544512441,452.012544512441
lm,-230.459361780255,5,470.91872356051,471.91872356051
lm,-235.232249747345,5,480.464499494691,481.464499494691
lm,-230.535192600696,5,471.070385201392,472.070385201392
lm,-249.205592606325,5,508.411185212649,509.411185212649
lm,-238.530750974348,5,487.061501948696,488.061501948696
lm,-213.679599299063,5,437.359198598126,438.359198598126
lm,-256.870444834369,5,523.740889668739,524.740889668739
lm,-231.208102072856,5,472.416204145713,473.416204145713
lm,-241.498188622587,5,492.996377245175,493.996377245175
lm,-230.493093656447,5,470.986187312894,471.986187312894
lm,-233.644618835713,5,477.289237671425,478.289237671425
lm,-234.940612472404,5,479.881224944808,480.881224944808
lm,-225.884475639297,5,461.768951278594,462.768951278594
lm,-216.661110295955,5,443.322220591911,444.322220591911
lm,-245.248593681088,5,500.497187362177,501.497187362177
lm,-249.080208463197,5,508.160416926393,509.160416926393
lm,-240.303785813781,5,490.607571627562,491.607571627562
lm,-240.07412036702,5,490.14824073404,491.14824073404
lm,-227.470441037473,5,464.940882074947,465.940882074947
lm,-229.843505886732,5,469.687011773465,470.687011773465
lm,-248.861895310791,5,507.723790621581,508.723790621581
lm,-236.231275836366,5,482.462551672732,483.462551672732
lm,-239.972850888087,5,489.945701776174,490.945701776174
lm,-225.300979704339,5,460.601959408678,461.601959408678
lm,-232.240095752535,5,474.480191505071,475.480191505071
lm,-215.261537738596,5,440.523075477192,441.523075477192
lm,-244.73356335738,5,499.467126714759,500.467126714759
lm,-234.435525490838,5,478.871050981676,479.871050981676
lm,-230.089579330229,5,470.179158660457,471.179158660457
lm,-229.979534363294,5,469.959068726588,470.959068726588
lm,-235.437167966735,5,480.874335933469,481.874335933469
lm,-241.543531329812,5,493.087062659623,494.087062659623
lm,-246.102283890954,5,502.204567781908,503.204567781908
lm,-228.490296207833,5,466.980592415666,467.980592415666
lm,-244.72073729226,5,499.44147458452,500.44147458452
lm,-236.204584390052,5,482.409168780104,483.409168780104
lm,-236.27944535074,5,482.55889070148,483.55889070148
lm,-238.755232895316,5,487.510465790631,488.510465790631
