lnlik,n_par,aic,aicc
const_fit,-234.810397997831,3,475.620795995661,476.007892769855
l_lin_fit,-234.685875650624,4,477.371751301249,478.027489006167
lm_lin_fit,-223.605578680618,5,457.211157361236,458.211157361236
const_fit1,-251.811168011767,3,509.622336023535,510.009432797728
l_lin_fit1,-251.6097581509,4,511.219516301801,511.875254006719
lm_lin_fit1,-241.208961072772,5,492.417922145543,493.417922145543
const_fit2,-245.312665585237,3,496.625331170474,497.012427944667
l_lin_fit2,-245.299703337366,4,498.599406674733,499.255144379651
lm_lin_fit2,-234.021854101201,5,478.043708202401,479.043708202401
const_fit3,-235.64132252595,3,477.2826450519,477.669741826093
l_lin_fit3,-235.288300815946,4,478.576601631891,479.23233933681
lm_lin_fit3,-224.068466971271,5,458.136933942543,459.136933942543
const_fit4,-273.320959206626,3,552.641918413253,553.029015187446
l_lin_fit4,-273.192625646037,4,554.385251292074,555.040988996992
lm_lin_fit4,-263.579101004058,5,537.158202008116,538.158202008116
const_fit5,-256.892258338415,3,519.784516676831,520.171613451024
l_lin_fit5,-256.673584762222,4,521.347169524444,522.002907229362
lm_lin_fit5,-245.935461953771,5,501.870923907542,502.870923907542
const_fit6,-236.05573829051,3,478.111476581019,478.498573355213
l_lin_fit6,-235.935718800622,4,479.871437601244,480.527175306162
lm_lin_fit6,-226.393272712941,5,462.786545425881,463.786545425881
const_fit7,-244.416122833928,3,494.832245667857,495.21934244205
l_lin_fit7,-244.378606923419,4,496.757213846839,497.412951551757
lm_lin_fit7,-234.804326744006,5,479.608653488011,480.608653488011
const_fit8,-257.957266713893,3,521.914533427786,522.30163020198
l_lin_fit8,-257.900462406536,4,523.800924813073,524.456662517991
lm_lin_fit8,-249.869372305718,5,509.738744611436,510.738744611436
const_fit9,-243.112251236703,3,492.224502473405,492.611599247599
l_lin_fit9,-243.102156275443,4,494.204312550886,494.860050255804
lm_lin_fit9,-232.899237373298,5,475.798474746597,476.798474746597
const_fit10,-240.220908589881,3,486.441817179762,486.828913953955
l_lin_fit10,-240.072169356049,4,488.144338712098,488.800076417016
lm_lin_fit10,-230.986010704041,5,471.972021408081,472.972021408081
const_fit11,-241.270727169549,3,488.541454339097,488.928551113291
l_lin_fit11,-241.132153306614,4,490.264306613228,490.920044318146
lm_lin_fit11,-232.10850466503,5,474.217009330059,475.217009330059
const_fit12,-240.215428259312,3,486.430856518623,486.817953292817
l_lin_fit12,-240.182933486504,4,488.365866973008,489.021604677926
lm_lin_fit12,-230.644932441295,5,471.28986488259,472.28986488259
const_fit13,-255.008707367594,3,516.017414735187,516.404511509381
l_lin_fit13,-254.569895936911,4,517.139791873821,517.795529578739
lm_lin_fit13,-243.798247290191,5,497.596494580381,498.596494580381
const_fit14,-253.382286635429,3,512.764573270858,513.151670045052
l_lin_fit14,-253.378656117877,4,514.757312235755,515.413049940673
lm_lin_fit14,-241.317796707956,5,492.635593415913,493.635593415913
const_fit15,-241.3080308969,3,488.616061793799,489.003158567993
l_lin_fit15,-241.129061409709,4,490.258122819419,490.913860524337
lm_lin_fit15,-230.815590025016,5,471.631180050032,472.631180050032
const_fit16,-247.577184483328,3,501.154368966657,501.54146574085
l_lin_fit16,-247.547152369971,4,503.094304739942,503.75004244486
lm_lin_fit16,-238.496036329455,5,486.992072658909,487.992072658909
const_fit17,-238.247800348285,3,482.495600696571,482.882697470764
l_lin_fit17,-238.150126576938,4,484.300253153877,484.955990858795
lm_lin_fit17,-228.614805886218,5,467.229611772437,468.229611772437
const_fit18,-254.21057958345,3,514.4211591669,514.808255941093
l_lin_fit18,-254.071458206147,4,516.142916412294,516.798654117212
lm_lin_fit18,-243.260737634709,5,496.521475269418,497.521475269418
const_fit19,-234.902148120128,3,475.804296240257,476.19139301445
l_lin_fit19,-234.808358120637,4,477.616716241275,478.272453946193
lm_lin_fit19,-224.020587583745,5,458.041175167489,459.041175167489
const_fit20,-234.359874037632,3,474.719748075264,475.106844849457
l_lin_fit20,-234.362964264929,4,476.725928529857,477.381666234775
lm_lin_fit20,-224.981254684049,5,459.962509368097,460.962509368097
const_fit21,-238.762526912933,3,483.525053825867,483.91215060006
l_lin_fit21,-238.040330394949,4,484.080660789898,484.736398494816
lm_lin_fit21,-227.452304407505,5,464.904608815011,465.904608815011
const_fit22,-233.37493575298,3,472.74987150596,473.136968280153
l_lin_fit22,-233.333992110039,4,474.667984220078,475.323721924996
lm_lin_fit22,-224.966461177795,5,459.93292235559,460.93292235559
const_fit23,-240.17970687978,3,486.35941375956,486.746510533754
l_lin_fit23,-240.160838896954,4,488.321677793907,488.977415498825
lm_lin_fit23,-231.810512398428,5,473.621024796855,474.621024796855
const_fit24,-229.155484241397,3,464.310968482793,464.698065256987
l_lin_fit24,-228.788624620523,4,465.577249241046,466.232986945964
lm_lin_fit24,-217.461106910491,5,444.922213820982,445.922213820982
const_fit25,-249.887068634919,3,505.774137269837,506.161234044031
l_lin_fit25,-249.882073550829,4,507.764147101659,508.419884806577
lm_lin_fit25,-239.233776057759,5,488.467552115519,489.467552115519
const_fit26,-251.042515344612,3,508.085030689225,508.472127463418
l_lin_fit26,-250.353821231162,4,508.707642462325,509.363380167243
lm_lin_fit26,-240.790562074782,5,491.581124149563,492.581124149563
const_fit27,-263.019611753487,3,532.039223506975,532.426320281168
l_lin_fit27,-262.922249379802,4,533.844498759605,534.500236464523
lm_lin_fit27,-250.877851958659,5,511.755703917317,512.755703917317
const_fit28,-238.08650808332,3,482.17301616664,482.560112940834
l_lin_fit28,-237.97340982351,4,483.946819647019,484.602557351937
lm_lin_fit28,-226.631636753439,5,463.263273506877,464.263273506877
const_fit29,-251.159972225625,3,508.319944451251,508.707041225444
l_lin_fit29,-250.966309771271,4,509.932619542541,510.588357247459
lm_lin_fit29,-240.708749101474,5,491.417498202948,492.417498202948
const_fit30,-240.959702743435,3,487.91940548687,488.306502261063
l_lin_fit30,-240.680901286653,4,489.361802573307,490.017540278225
lm_lin_fit30,-229.540010589926,5,469.080021179851,470.080021179851
const_fit31,-251.062673089266,3,508.125346178531,508.512442952725
l_lin_fit31,-250.748696751294,4,509.497393502588,510.153131207506
lm_lin_fit31,-239.027362767487,5,488.054725534974,489.054725534974
const_fit32,-258.6921532708,3,523.384306541599,523.771403315793
l_lin_fit32,-258.622675441273,4,525.245350882547,525.901088587465
lm_lin_fit32,-246.559766855679,5,503.119533711357,504.119533711357
const_fit33,-238.17517434001,3,482.350348680019,482.737445454213
l_lin_fit33,-238.124153344565,4,484.248306689129,484.904044394047
lm_lin_fit33,-228.343304818238,5,466.686609636476,467.686609636476
const_fit34,-244.114476663806,3,494.228953327612,494.616050101805
l_lin_fit34,-243.828060442461,4,495.656120884922,496.31185858984
lm_lin_fit34,-233.955357059565,5,477.91071411913,478.91071411913
const_fit35,-233.306756761718,3,472.613513523436,473.00061029763
l_lin_fit35,-233.296554673733,4,474.593109347465,475.248847052383
lm_lin_fit35,-224.46726920132,5,458.93453840264,459.93453840264
const_fit36,-247.708704812184,3,501.417409624368,501.804506398562
l_lin_fit36,-247.699137644651,4,503.398275289303,504.054012994221
lm_lin_fit36,-238.084122029625,5,486.16824405925,487.16824405925
const_fit37,-251.299094955601,3,508.598189911201,508.985286685395
l_lin_fit37,-251.286623756804,4,510.573247513609,511.228985218527
lm_lin_fit37,-240.973357442189,5,491.946714884379,492.946714884379
const_fit38,-242.079648718299,3,490.159297436599,490.546394210792
l_lin_fit38,-242.002468709824,4,492.004937419648,492.660675124566
