lnlik,n_par,aic,aicc
const_fit,-338.006527308022,3,682.013054616043,681.884022357979
l_lin_fit,-337.766855385929,4,683.533710771858,683.369776345629
lm_lin_fit,-329.90861851433,5,669.817237028659,669.617237028659
const_fit1,-341.719652344719,3,689.439304689437,689.310272431373
l_lin_fit1,-341.373414454832,4,690.746828909664,690.582894483435
lm_lin_fit1,-328.642466441538,5,667.284932883075,667.084932883075
const_fit2,-356.422398285712,3,718.844796571424,718.715764313359
l_lin_fit2,-356.419077129769,4,720.838154259538,720.674219833308
lm_lin_fit2,-342.201907840821,5,694.403815681641,694.203815681641
const_fit3,-324.198009666103,3,654.396019332207,654.266987074142
l_lin_fit3,-323.669310317717,4,655.338620635434,655.174686209204
lm_lin_fit3,-310.962111198019,5,631.924222396039,631.724222396039
const_fit4,-365.030436427184,3,736.060872854368,735.931840596303
l_lin_fit4,-364.748104356893,4,737.496208713786,737.332274287556
lm_lin_fit4,-351.999792509376,5,713.999585018752,713.799585018752
const_fit5,-347.738762700819,3,701.477525401639,701.348493143574
l_lin_fit5,-347.425215895434,4,702.850431790868,702.686497364639
lm_lin_fit5,-334.387973162,5,678.775946324,678.575946324
const_fit6,-329.439686686802,3,664.879373373604,664.75034111554
l_lin_fit6,-329.198831369956,4,666.397662739912,666.233728313682
lm_lin_fit6,-316.601221320384,5,643.202442640769,643.002442640769
const_fit7,-334.387616024922,3,674.775232049844,674.64619979178
l_lin_fit7,-334.297273728035,4,676.594547456069,676.43061302984
lm_lin_fit7,-321.902430690825,5,653.804861381649,653.604861381649
const_fit8,-346.244863285594,3,698.489726571189,698.360694313124
l_lin_fit8,-346.097680229637,4,700.195360459274,700.031426033044
lm_lin_fit8,-334.369164168241,5,678.738328336482,678.538328336482
const_fit9,-340.040810014755,3,686.08162002951,685.952587771446
l_lin_fit9,-339.934550297694,4,687.869100595388,687.705166169159
lm_lin_fit9,-333.898338645905,5,677.796677291809,677.596677291809
const_fit10,-328.040976336047,3,662.081952672093,661.952920414029
l_lin_fit10,-327.737849496118,4,663.475698992236,663.311764566007
lm_lin_fit10,-315.658613129007,5,641.317226258015,641.117226258015
const_fit11,-330.282068720034,3,666.564137440067,666.435105182003
l_lin_fit11,-329.956446964059,4,667.912893928117,667.748959501887
lm_lin_fit11,-317.787688134425,5,645.57537626885,645.37537626885
const_fit12,-332.967078492852,3,671.934156985703,671.805124727639
l_lin_fit12,-332.816496545461,4,673.632993090922,673.469058664692
lm_lin_fit12,-320.172935166343,5,650.345870332687,650.145870332687
const_fit13,-341.370794500941,3,688.741589001883,688.612556743818
l_lin_fit13,-340.669315639578,4,689.338631279157,689.174696852927
lm_lin_fit13,-328.12487184326,5,666.249743686519,666.049743686519
const_fit14,-358.418349094055,3,722.83669818811,722.707665930046
l_lin_fit14,-358.395474546378,4,724.790949092757,724.627014666527
lm_lin_fit14,-344.589139605353,5,699.178279210706,698.978279210706
const_fit15,-330.545829294868,3,667.091658589736,666.962626331672
l_lin_fit15,-330.227570890276,4,668.455141780551,668.291207354322
lm_lin_fit15,-317.85398805104,5,645.707976102079,645.507976102079
const_fit16,-336.892193146315,3,679.78438629263,679.655354034566
l_lin_fit16,-336.897241091152,4,681.794482182304,681.630547756074
lm_lin_fit16,-324.666240952625,5,659.33248190525,659.13248190525
const_fit17,-330.082323446016,3,666.164646892032,666.035614633968
l_lin_fit17,-329.887603950907,4,667.775207901813,667.611273475584
lm_lin_fit17,-317.392379511877,5,644.784759023755,644.584759023755
const_fit18,-349.697880358812,3,705.395760717624,705.26672845956
l_lin_fit18,-349.509881066025,4,707.01976213205,706.85582770582
lm_lin_fit18,-343.043238135193,5,696.086476270387,695.886476270387
const_fit19,-324.282101001379,3,654.564202002758,654.435169744694
l_lin_fit19,-324.126954093124,4,656.253908186249,656.089973760019
lm_lin_fit19,-311.548656706117,5,633.097313412234,632.897313412234
const_fit20,-328.171202247658,3,662.342404495315,662.213372237251
l_lin_fit20,-328.164566612318,4,664.329133224637,664.165198798407
lm_lin_fit20,-315.725018749371,5,641.450037498742,641.250037498742
const_fit21,-333.347510572927,3,672.695021145853,672.565988887789
l_lin_fit21,-332.355366735747,4,672.710733471495,672.546799045265
lm_lin_fit21,-327.699281028192,5,665.398562056383,665.198562056383
const_fit22,-321.436461690097,3,648.872923380194,648.743891122129
l_lin_fit22,-321.250315565712,4,650.500631131424,650.336696705194
lm_lin_fit22,-309.512585098034,5,629.025170196068,628.825170196068
const_fit23,-327.335162003764,3,660.670324007527,660.541291749463
l_lin_fit23,-327.199346045424,4,662.398692090849,662.234757664619
lm_lin_fit23,-315.439471622272,5,640.878943244544,640.678943244544
const_fit24,-325.153048148395,3,656.306096296789,656.177064038725
l_lin_fit24,-324.510591582415,4,657.02118316483,656.8572487386
lm_lin_fit24,-318.51116506076,5,647.02233012152,646.82233012152
const_fit25,-344.251341546657,3,694.502683093314,694.37365083525
l_lin_fit25,-344.195725625867,4,696.391451251733,696.227516825504
lm_lin_fit25,-337.638973969016,5,685.277947938033,685.077947938033
const_fit26,-341.214869623268,3,688.429739246536,688.300706988471
l_lin_fit26,-340.086802555185,4,688.17360511037,688.00967068414
lm_lin_fit26,-328.093115447144,5,666.186230894289,665.986230894289
const_fit27,-370.439731946121,3,746.879463892241,746.750431634177
l_lin_fit27,-370.272984939977,4,748.545969879955,748.382035453725
lm_lin_fit27,-359.81848570214,5,729.636971404279,729.436971404279
const_fit28,-327.4300264095,3,660.860052819,660.731020560936
l_lin_fit28,-327.234484544255,4,662.468969088511,662.305034662281
lm_lin_fit28,-314.491545639496,5,638.983091278992,638.783091278992
const_fit29,-342.570109562009,3,691.140219124019,691.011186865954
l_lin_fit29,-342.199182507456,4,692.398365014912,692.234430588683
lm_lin_fit29,-329.410234290178,5,668.820468580355,668.620468580355
const_fit30,-335.252093163266,3,676.504186326533,676.375154068468
l_lin_fit30,-334.887237784333,4,677.774475568665,677.610541142436
lm_lin_fit30,-329.469353145523,5,668.938706291045,668.738706291045
const_fit31,-348.390920717101,3,702.781841434203,702.652809176138
l_lin_fit31,-347.866710095988,4,703.733420191976,703.569485765746
lm_lin_fit31,-340.687916680881,5,691.375833361761,691.175833361761
const_fit32,-375.005090603401,3,756.010181206801,755.881148948737
l_lin_fit32,-374.882801129182,4,757.765602258363,757.601667832134
lm_lin_fit32,-360.110545326985,5,730.22109065397,730.02109065397
const_fit33,-331.69105935371,3,669.382118707419,669.253086449355
l_lin_fit33,-331.573924516365,4,671.14784903273,670.983914606501
lm_lin_fit33,-318.735147236101,5,647.470294472201,647.270294472201
const_fit34,-338.539991712895,3,683.079983425789,682.950951167725
l_lin_fit34,-338.016200382212,4,684.032400764424,683.868466338195
lm_lin_fit34,-325.300685752199,5,660.601371504398,660.401371504398
const_fit35,-328.954390472112,3,663.908780944225,663.77974868616
l_lin_fit35,-328.880420937149,4,665.760841874299,665.596907448069
lm_lin_fit35,-316.589234234948,5,643.178468469897,642.978468469897
const_fit36,-346.498153965927,3,698.996307931853,698.867275673789
l_lin_fit36,-346.494916585211,4,700.989833170422,700.825898744193
lm_lin_fit36,-339.044482044067,5,688.088964088133,687.888964088133
const_fit37,-349.790290240305,3,705.580580480609,705.451548222545
l_lin_fit37,-349.7896961392,4,707.579392278401,707.415457852171
lm_lin_fit37,-341.729710146337,5,693.459420292675,693.259420292675
const_fit38,-327.579922454132,3,661.159844908264,661.030812650199
l_lin_fit38,-327.384022783443,4,662.768045566887,662.604111140657
lm_lin_fit38,-315.492217352262,5,640.984434704524,640.784434704524
const_fit39,-333.823705680465,3,673.647411360931,673.518379102866
l_lin_fit39,-333.779060173692,4,675.558120347384,675.394185921155
lm_lin_fit39,-321.421803021535,5,652.84360604307,652.64360604307
const_fit40,-307.306652528514,3,620.613305057028,620.484272798964
l_lin_fit40,-306.898166017838,4,621.796332035676,621.632397609447
lm_lin_fit40,-295.362077614096,5,600.724155228192,600.524155228192
const_fit41,-337.391039593879,3,680.782079187759,680.653046929694
l_lin_fit41,-337.390919146311,4,682.781838292622,682.617903866392
lm_lin_fit41,-329.943619748239,5,669.887239496477,669.687239496477
const_fit42,-371.603741876202,3,749.207483752404,749.078451494339
l_lin_fit42,-371.602342491777,4,751.204684983553,751.040750557324
lm_lin_fit42,-361.046537437519,5,732.093074875038,731.893074875038
const_fit43,-344.562868460082,3,695.125736920164,694.9967046621
l_lin_fit43,-344.502948969165,4,697.005897938331,696.841963512101
lm_lin_fit43,-332.151527185266,5,674.303054370531,674.103054370531
const_fit44,-331.097188794447,3,668.194377588894,668.06534533083
l_lin_fit44,-331.070925009015,4,670.141850018029,669.9779155918
lm_lin_fit44,-318.838320140661,5,647.676640281322,647.476640281322
const_fit45,-340.868102505262,3,687.736205010525,687.60717275246
l_lin_fit45,-340.797873322555,4,689.59574664511,689.431812218881
lm_lin_fit45,-329.04477593966,5,668.089551879319,667.889551879319
const_fit46,-328.056518258455,3,662.113036516909,661.984004258845
