model_name,lnlik,n_par,aic,aicc
d,-156.748237542596,5,323.496475085193,323.296475085193
d,-183.924815734105,5,377.84963146821,377.64963146821
d,-157.473305494863,5,324.946610989726,324.746610989726
sd,-165.930297721158,6,343.860595442315,343.623307306722
d,-207.341278220257,5,424.682556440514,424.482556440514
sxd,-185.251844498831,7,384.503688997661,384.227826928696
d,-170.919948971479,5,351.839897942958,351.639897942958
d,-178.914139633265,5,367.828279266531,367.628279266531
d,-199.870533615394,5,409.741067230789,409.541067230789
d,-172.266500547372,5,354.533001094745,354.333001094745
d,-176.389890231754,5,362.779780463509,362.579780463509
d,-177.936848018495,5,365.873696036989,365.673696036989
d,-171.618266145387,5,353.236532290775,353.036532290775
sxd,-185.171481178543,7,384.342962357085,384.06710028812
d,-172.10225712405,5,354.2045142481,354.0045142481
d,-173.51648859421,5,357.032977188419,356.832977188419
d,-184.55611733733,5,379.11223467466,378.91223467466
d,-172.588787973425,5,355.17757594685,354.97757594685
d,-183.755499325235,5,377.510998650471,377.310998650471
d,-160.702414513752,5,331.404829027503,331.204829027503
sd,-167.435943210124,6,346.871886420249,346.634598284656
sxd,-168.166878811186,7,350.333757622373,350.057895553407
d,-171.322322496584,5,352.644644993167,352.444644993167
sxd,-176.15872095569,7,366.317441911379,366.041579842414
sxd,-154.938841510122,7,323.877683020244,323.601820951278
sd,-176.962881258285,6,365.92576251657,365.688474380977
sxd,-185.160750960969,7,384.321501921938,384.045639852972
d,-180.546404799683,5,371.092809599365,370.892809599365
sxd,-165.057478420409,7,344.114956840818,343.839094771852
sxd,-181.188400445029,7,376.376800890058,376.100938821092
sxd,-166.808261428659,7,347.616522857318,347.340660788353
sxd,-175.422921028017,7,364.845842056034,364.569979987069
d,-170.890354181602,5,351.780708363204,351.580708363204
sxd,-170.270115874575,7,354.540231749149,354.264369680184
sxd,-176.016143144736,7,366.032286289473,365.756424220507
sd,-166.55173922041,6,345.103478440821,344.866190305227
d,-178.164155437593,5,366.328310875187,366.128310875187
d,-179.604346964847,5,369.208693929695,369.008693929695
d,-174.937553303428,5,359.875106606857,359.675106606857
d,-178.805400270414,5,367.610800540829,367.410800540829
d,-158.754043961762,5,327.508087923524,327.308087923524
d,-170.80011607895,5,351.600232157899,351.400232157899
d,-188.617298295176,5,387.234596590353,387.034596590353
d,-189.414251216459,5,388.828502432919,388.628502432919
sxd,-175.910405314814,7,365.820810629628,365.544948560662
sd,-186.170723626258,6,384.341447252516,384.104159116923
sxd,-168.728729164797,7,351.457458329593,351.181596260627
d,-172.663857583213,5,355.327715166426,355.127715166426
sxd,-186.305411504043,7,386.610823008086,386.33496093912
d,-170.99473944892,5,351.98947889784,351.78947889784
d,-202.235577805587,5,414.471155611175,414.271155611175
d,-164.447809583999,5,338.895619167999,338.695619167999
d,-168.815163733246,5,347.630327466492,347.430327466492
sd,-195.275818544597,6,402.551637089193,402.3143489536
d,-181.556467724515,5,373.112935449031,372.912935449031
sxd,-169.142817842693,7,352.285635685386,352.00977361642
sxd,-186.349053594073,7,386.698107188147,386.422245119181
sxd,-167.866459816797,7,349.732919633594,349.457057564629
d,-164.643641953071,5,339.287283906141,339.087283906141
d,-179.200212430196,5,368.400424860392,368.200424860392
sxd,-173.588566964874,7,361.177133929747,360.901271860782
d,-160.71391184129,5,331.42782368258,331.22782368258
d,-177.555607504638,5,365.111215009276,364.911215009276
sxd,-167.867890323144,7,349.735780646287,349.459918577322
sd,-167.845322170584,6,347.690644341168,347.453356205574
sxd,-188.000995617936,7,390.001991235872,389.726129166907
d,-183.655818388573,5,377.311636777146,377.111636777146
sxd,-157.067151025,7,328.13430205,327.858439981034
sxd,-176.518239768261,7,367.036479536522,366.760617467556
d,-172.582364075596,5,355.164728151192,354.964728151192
sd,-175.209244269187,6,362.418488538374,362.181200402781
sxd,-172.372187687659,7,358.744375375317,358.468513306352
d,-181.586772333944,5,373.173544667888,372.973544667888
sd,-177.160741705556,6,366.321483411113,366.084195275519
d,-173.907387160611,5,357.814774321223,357.614774321223
d,-162.172527955494,5,334.345055910988,334.145055910988
d,-189.456703810545,5,388.91340762109,388.71340762109
d,-187.311745371975,5,384.62349074395,384.42349074395
d,-175.370015117938,5,360.740030235876,360.540030235876
sd,-186.97900482447,6,385.95800964894,385.720721513347
sxd,-170.751838980901,7,355.503677961803,355.227815892837
d,-172.269767811696,5,354.539535623393,354.339535623393
sxd,-185.800739499116,7,385.601478998231,385.325616929266
d,-174.935048625086,5,359.870097250172,359.670097250172
sd,-182.232156843752,6,376.464313687505,376.227025551911
d,-172.416235797677,5,354.832471595353,354.632471595353
d,-170.42184197031,5,350.843683940619,350.643683940619
sxd,-154.928885624092,7,323.857771248183,323.581909179218
sxd,-184.989946040331,7,383.979892080662,383.704030011696
d,-176.359301870716,5,362.718603741432,362.518603741432
d,-171.908702705505,5,353.81740541101,353.61740541101
sxd,-168.853712824473,7,351.707425648946,351.43156357998
d,-174.159219603093,5,358.318439206187,358.118439206187
d,-184.066924014776,5,378.133848029552,377.933848029552
sxd,-185.86869600789,7,385.737392015781,385.461529946815
d,-176.90567088102,5,363.81134176204,363.61134176204
d,-186.565967352858,5,383.131934705715,382.931934705715
d,-182.071791031477,5,374.143582062953,373.943582062954
d,-173.68234612282,5,357.364692245639,357.164692245639
d,-180.623088823614,5,371.246177647228,371.046177647228
