lnlik,n_par,aic,aicc
d_fit,-156.748237542596,5,323.496475085193,323.296475085193
sd_fit,-155.249188440026,6,322.498376880052,322.261088744459
sxd_fit,-155.249169606831,7,324.498339213661,324.222477144696
d_fit1,-183.924815734105,5,377.84963146821,377.64963146821
sd_fit1,-182.40656539039,6,376.81313078078,376.575842645187
sxd_fit1,-182.353630527129,7,378.707261054258,378.431398985292
d_fit2,-157.473305494863,5,324.946610989726,324.746610989726
sd_fit2,-156.060421479129,6,324.120842958258,323.883554822665
sxd_fit2,-155.792489278684,7,325.584978557368,325.309116488402
d_fit3,-167.956251343751,5,345.912502687502,345.712502687502
sd_fit3,-165.930297721158,6,343.860595442315,343.623307306722
sxd_fit3,-164.044694161589,7,342.089388323178,341.813526254213
d_fit4,-207.341278220257,5,424.682556440514,424.482556440514
sd_fit4,-205.404949962549,6,422.809899925099,422.572611789506
sxd_fit4,-205.404947288557,7,424.809894577114,424.534032508148
d_fit5,-187.852829729722,5,385.705659459444,385.505659459444
sd_fit5,-185.327739270601,6,382.655478541202,382.418190405609
sxd_fit5,-185.251844498831,7,384.503688997661,384.227826928696
d_fit6,-170.919948971479,5,351.839897942958,351.639897942958
sd_fit6,-169.375486360096,6,350.750972720191,350.513684584598
sxd_fit6,-169.375484948897,7,352.750969897793,352.475107828828
d_fit7,-178.914139633265,5,367.828279266531,367.628279266531
sd_fit7,-177.533142824135,6,367.066285648269,366.828997512676
sxd_fit7,-177.533143546259,7,369.066287092517,368.790425023552
d_fit8,-199.870533615394,5,409.741067230789,409.541067230789
sd_fit8,-198.585090785313,6,409.170181570626,408.932893435032
sxd_fit8,-198.355492483481,7,410.710984966963,410.435122897997
d_fit9,-172.266500547372,5,354.533001094745,354.333001094745
sd_fit9,-170.646096028524,6,353.292192057048,353.054903921455
sxd_fit9,-170.646347099475,7,355.29269419895,355.016832129984
d_fit10,-176.389890231754,5,362.779780463509,362.579780463509
sd_fit10,-174.515993861912,6,361.031987723824,360.79469958823
sxd_fit10,-174.513857192327,7,363.027714384654,362.751852315688
d_fit11,-177.936848018495,5,365.873696036989,365.673696036989
sd_fit11,-176.149175557,6,364.298351114001,364.061062978408
sxd_fit11,-176.149179396304,7,366.298358792608,366.022496723643
d_fit12,-171.618266145387,5,353.236532290775,353.036532290775
sd_fit12,-170.621667901839,6,353.243335803677,353.006047668084
sxd_fit12,-170.621678947671,7,355.243357895342,354.967495826377
d_fit13,-187.807858527013,5,385.615717054025,385.415717054025
sd_fit13,-185.231845790349,6,382.463691580698,382.226403445105
sxd_fit13,-185.171481178543,7,384.342962357085,384.06710028812
d_fit14,-172.10225712405,5,354.2045142481,354.0045142481
sd_fit14,-170.560211045981,6,353.120422091961,352.883133956368
sxd_fit14,-170.481780958384,7,354.963561916769,354.687699847803
d_fit15,-173.51648859421,5,357.032977188419,356.832977188419
sd_fit15,-171.870506879737,6,355.741013759475,355.503725623881
sxd_fit15,-171.735566201427,7,357.471132402854,357.195270333888
d_fit16,-184.55611733733,5,379.11223467466,378.91223467466
sd_fit16,-183.17458584143,6,378.349171682861,378.111883547268
sxd_fit16,-183.174531806807,7,380.349063613614,380.073201544648
d_fit17,-172.588787973425,5,355.17757594685,354.97757594685
sd_fit17,-171.175893420693,6,354.351786841386,354.114498705792
sxd_fit17,-171.17599990141,7,356.35199980282,356.076137733854
d_fit18,-183.755499325235,5,377.510998650471,377.310998650471
sd_fit18,-182.140408876625,6,376.28081775325,376.043529617657
sxd_fit18,-182.140447130429,7,378.280894260859,378.005032191893
d_fit19,-160.702414513752,5,331.404829027503,331.204829027503
sd_fit19,-159.360960333129,6,330.721920666257,330.484632530664
sxd_fit19,-159.360963527256,7,332.721927054512,332.446064985547
d_fit20,-168.334527424155,5,346.66905484831,346.46905484831
sd_fit20,-167.435943210124,6,346.871886420249,346.634598284656
sxd_fit20,-167.435943184551,7,348.871886369101,348.596024300136
d_fit21,-170.667674432269,5,351.335348864538,351.135348864538
sd_fit21,-168.445510459954,6,348.891020919908,348.653732784314
sxd_fit21,-168.166878811186,7,350.333757622373,350.057895553407
d_fit22,-171.322322496584,5,352.644644993167,352.444644993167
sd_fit22,-169.475687764965,6,350.951375529929,350.714087394336
sxd_fit22,-169.393856581798,7,352.787713163595,352.51185109463
d_fit23,-178.132602366759,5,366.265204733519,366.065204733519
