model,theta,se,alpha,sigma_q
BM1,15686.6856089708,803.035206227901,NA,803185.433105985
BM1,15637.9766876772,766.805351308009,NA,482478.170095792
BM1,15705.1904191774,1308.5815355625,NA,2463405.00818193
BM1,15653.0345929709,847.404104292675,NA,848787.425565897
BM1,15625.0822293729,548.248905267667,NA,253102.911689512
BM1,15627.9237277481,782.797936309936,NA,487433.390683979
BM1,15603.8156406128,729.828322946027,NA,575168.895469099
BM1,15621.9342328899,641.001291355287,NA,497342.901829579
BM1,15581.1637109811,619.668734684633,NA,290894.831836278
BM1,15615.8839072672,711.602549627757,NA,724027.780557088
BM1,15681.159161336,658.964214263698,NA,461242.364347754
BM1,15649.1855741223,637.445370825425,NA,396106.015256978
BM1,15738.0667255013,871.083170800913,NA,866121.804060396
BM1,15658.3863904051,662.3644342801,NA,383319.900262818
BM1,15663.7853673301,945.959973804906,NA,1061867.97206669
BM1,15620.0303384315,658.550838034632,NA,568455.748626548
BM1,15643.4400075192,655.112327306831,NA,421077.362529023
BM1,15630.7088419727,684.407129995239,NA,484063.119118335
BM1,15561.6999772859,654.489638940506,NA,514243.645548827
BM1,15686.7465418047,615.439696574315,NA,534257.946894168
BM1,15575.6812195647,659.030618095451,NA,615687.075055697
BM1,15577.9754861226,667.846545210851,NA,531535.225556338
BM1,15640.5233597138,621.609907829423,NA,441232.348484622
BM1,15604.3978604143,723.591885618535,NA,491302.484009271
BM1,15617.2010020141,856.637443619425,NA,1151196.56810104
BM1,15624.6332125227,656.1471706788,NA,539357.399222861
BM1,15493.077455163,701.099746690513,NA,372707.409666973
BM1,15678.2571388117,633.780045475012,NA,437083.233974366
BM1,15721.786607736,699.942215237926,NA,685128.29435841
BM1,15651.4470628853,926.886690529551,NA,747625.313615137
BM1,15645.841926797,788.93567659213,NA,783451.129631141
BM1,15607.1254791914,793.304084835784,NA,573373.154269482
BM1,15605.9262378349,649.867556629353,NA,492184.784942497
BM1,15529.8482978776,835.61187563454,NA,665835.561596957
BM1,15670.4055633082,653.280975576959,NA,415173.108766937
BM1,15589.3576376232,619.93585852591,NA,517609.229611831
BM1,15649.9582659195,614.620672211263,NA,421709.546588138
BM1,15561.8339917208,658.989698514012,NA,410821.806012818
BM1,15659.2953316963,641.64890711916,NA,430790.624667276
BM1,15694.777249858,621.569288036462,NA,452106.975839
BM1,15665.1675357257,652.354718284142,NA,611831.064456381
BM1,15833.7959068783,842.145915628823,NA,789812.423354777
BM1,15501.7926903584,739.824301467676,NA,450459.343032101
BM1,15714.9053290265,662.596446981965,NA,490507.273683778
BM1,15741.5482284655,621.866330254348,NA,442876.310041776
BM1,15539.9483860352,654.177141572553,NA,367164.456830303
BM1,15666.0083428406,612.605503826654,NA,478629.768288349
BM1,15687.5839940614,754.275506482353,NA,756005.912589776
BM1,15596.3310165274,611.77415199068,NA,320804.426197408
BM1,15619.6625763846,655.136609777958,NA,456821.163003131
