AF-endemic,widespread
19300.5136624187,16695.9859734207
11277.65431476,12945.0451426421
16845.8048217803,16770.8791715803
14181.6867996792,15202.4951531609
13997.2068571246,14202.6709125337
15459.0636106567,15158.938022319
13770.8111277373,14464.6008938907
19308.0586293939,17385.0782692308
14357.2198119941,14887.4593175869
14873.3885425673,14853.8646634762
13996.0281173123,13723.0556124961
12255.4030347795,12562.8068501345
16916.1050401403,16375.8878368509
14348.9104528099,15742.8863490917
13721.9066006271,15327.4650836461
15169.3621971766,16328.9124681522
12664.222998901,14865.0727146347
12604.6114110199,14109.4045643141
18423.9014489658,17412.0897749263
13914.4041160465,13748.4171279896
15157.0212290604,16436.6429280533
16482.3418073912,16130.7547986816
13138.8589512567,14512.8642716145
17244.6854924578,15721.0007475581
16147.2461258363,15994.001138732
16523.4821776012,17252.9903292976
16566.8415972747,15972.0389224806
15080.7433596753,16173.1505885295
14382.6313814341,15245.8048617372
14652.0728507732,15478.6680666541
13432.9939043591,13461.8774064885
16914.7345103733,15612.3612613576
14735.1958101358,15394.3236110013
17128.4648775328,16664.0571318185
19571.0632735654,16384.1727163868
13372.3096869854,15301.771699131
12748.3976735582,15783.1095925221
14917.5535353607,13066.45241939
16531.8380474817,14676.9916937012
16280.6061794922,14464.3439083062
17202.0209964505,16100.8409840799
14448.2206067849,16207.0865399219
18835.5264764462,16549.9000727561
14792.2803873485,15233.7830647057
18731.4701477685,17950.6790431181
14489.064406949,15107.6562668794
15737.6324394307,16048.8815434317
14767.8349920001,15386.8720916307
17750.8868466882,16794.0179391619
15779.6763122202,16710.4979482438
14104.5580912527,13553.0093666448
20630.9801577,18680.4694444678
12871.2869451165,13585.1288489704
15358.0873418051,14350.9853294726
16333.0977149335,15219.0568011081
17623.3849973958,16167.5048068058
13719.5553688165,15312.000625863
18619.867997829,16661.7741328774
18339.8006511302,16494.0160811062
17508.0187297021,16840.4873711784
12202.4457366949,13961.4532366532
15860.9239193213,14299.8705064772
15544.6603732848,15416.9093303844
14141.5385159236,13865.2909246832
16299.2195032281,17320.3259841259
16854.8718083197,17274.5194971259
16091.5139723452,13247.1782922286
16799.5826091404,17042.8584678522
16652.4097992531,15994.5560496202
16768.5519169515,17157.7215784815
14500.5867433669,15901.7792215048
15807.5860762092,16055.3862216306
15803.8512119343,17874.9278271504
12883.0374418666,13976.0638901495
15870.1966411695,17889.2258808933
15253.5494881016,15791.2660430293
14980.3112526223,16168.0852049722
15902.5217027358,16193.3573185935
18089.2200652246,16298.5408432337
15982.8486329303,15775.2341249283
16529.3597672795,15730.1864159054
17508.7491342994,16430.3085569957
14445.7240860856,14052.1419080611
15856.2252231439,15196.940205872
17427.9411196155,17098.1075986618
16717.5095598427,14338.9212101979
15991.3123925365,14794.0157552088
15849.1405427982,15267.9774342211
18383.1917710478,16293.4684252365
15411.7271894239,15619.3441676782
14396.0306501373,14040.1857731435
14975.1277820152,14778.4591161845
18724.3463463481,17663.2541333827
16708.531557515,14858.9302151092
14194.6017881986,15731.3007354113
16506.3968606365,16269.9498871193
17410.2786248386,16165.8943665051
14608.4955123796,15424.5450315266
16790.1278707086,15377.3143072444
15550.1104720201,16923.0923155364
16137.5622032686,15888.0997925576
16066.3008376797,16617.0428831903
15538.1035418095,16204.7743471997
15545.424365596,13612.5058017105
15756.4807133588,16562.531631375
16375.7212083251,16017.97221715
18439.8728724041,18327.8579193919
18093.8818351511,15855.371433254
15001.9094529973,15439.9000900759
17774.9721385742,18249.1513301821
13827.3878194175,15479.5835640089
14123.227752622,12835.8565795739
15824.3886078958,17027.4502568924
14078.9168280172,16080.0999886627
16074.4730430188,16793.6678679256
17731.8830531528,18232.7530108638
15312.3939546362,15799.6404818502
16470.13126077,16325.7900994765
15487.7843953753,15312.8971814809
15849.6703258177,16127.9399139265
17478.6754790512,16111.3120573973
14501.9048303567,15875.2445569855
16393.575755202,16128.5597330607
17312.2002745065,17315.375505628
17941.1797939425,16079.8093450302
14131.141523852,15613.1962553158
17449.3283041965,16588.00370862
13391.275132782,13832.2511826287
17555.636107976,17778.5135259283
17969.2802368539,16960.7959654396
14519.9459731103,13795.3076933655
15164.2352916835,15875.5639786492
16631.4575589354,16268.0954363755
16311.647787244,15200.7243235811
17645.8845440057,16926.1248723272
19000.5192785017,17527.4585835017
15003.0536057338,14409.0700643214
14311.1268231677,13879.19452686
13673.8404105617,16557.6293458586
15474.4516393168,14312.0332139286
17599.9448814952,17575.3865985323
12923.5707820838,14056.5650596638
17294.629089831,15970.5121883393
16180.0002181946,16287.5851303377
17153.3590530209,18436.9328039688
18176.4586245147,16511.3715072987
15897.4912115302,16691.4423217622
13771.3203995346,13833.8977423555
14474.5295569708,15634.6009346172
11949.4039592738,13638.6109891312
13527.3116140402,14313.0087174435
16686.3978584967,16859.4852720402
18681.2862971876,16429.7652325924
13563.4198381285,15145.5120412836
15659.5072521789,14993.0377130257
16956.8682101945,16528.6626315525
18564.4490038819,16550.376799334
15412.0164297399,15925.402089093
15871.5110583288,17089.7265863442
16526.1694041545,15116.3024562287
16170.3754539783,15968.2489608183
16761.4844925789,17180.7397435676
13678.0181540016,16738.1694294896
13953.5307002975,14663.8267178333
17155.4904044931,16370.4103185546
17533.6563018005,17654.544108662
16366.8328936318,16493.1736329469
15274.8047063258,15442.8007848595
17771.6490073264,17320.5433236924
15762.1037585135,16081.8398262351
16644.2306909298,16755.837479884
15978.6292666525,15417.4776435952
16218.6580230998,15495.2833296572
15112.1365215001,15223.6015670209
17453.2045330005,17256.9440991188
15655.4672142394,16027.1868885021
17861.1048609986,15953.9668096534
17039.9071643655,18145.8154998648
12295.4039209861,12257.6150226154
14067.5035418718,16074.1950650706
16511.4638202345,17500.4249657283
16898.6701132561,15886.194327682
15545.6225574105,17356.2022149967
16116.3908020971,17151.2463400529
17719.4391893028,17512.9980769712
14697.006974446,13566.2377729688
17609.4295464446,17347.6059358133
12896.06641426,14926.8868189647
17563.6437856943,17522.4809753543
18458.7138307305,16827.3099403707
14846.25123603,14802.6408055032
12427.9385284865,13845.5428458804
17863.7958440141,17016.8715859844
18314.8791871233,17495.4032666935
17370.8432728204,16851.1516958246
15492.1272919015,15032.5398353738
12549.0883397171,12872.575122846
14880.2543364444,15478.2018709594
14225.5191180246,13864.9184572371
15847.880168805,15610.1317191736
19453.0737611455,18998.4689737847
14786.5844198874,16859.2548114873
12367.5877128476,14814.1346329203
19545.7409363051,13741.066251427
14834.3014761762,15758.1550998135
14339.5408343738,15812.0448838197
17876.8660327988,18256.2515599712
13286.1011296013,15610.9571002112
17631.8072518393,16378.042192274
19020.2908338761,16654.6571446883
13049.6194084654,13234.679176899
19007.4469697647,14037.3137051113
17760.0956723237,18035.8546885794
21582.6209208634,16976.441406347
16084.4252598221,13214.6218477321
13381.1428264144,15158.0789305094
19255.2034189511,11964.7236832384
16279.5839954853,19093.3875925578
13611.5001809997,15306.5440422587
12793.1808986616,16550.4608270846
14768.7768419421,13163.2110439553
12321.2480367896,14599.6195475082
13605.7389575363,16590.9445966298
16519.4546800473,17922.3258039944
18408.8237473209,15817.8367271692
16399.4828248839,15042.3422004971
12956.8717333454,14641.618590142
14526.1496602202,15653.2922776174
14635.2692005445,15027.4689422645
16155.3908788489,14481.4582109224
9191.74556469796,14883.2915771937
17315.7394288088,16294.8240153882
15333.4461457472,14270.6516924208
15184.0906501849,15956.2285360079
13749.1926406851,14153.9685867683
14853.9332421223,13103.4068001995
11460.9402815588,13733.1740647938
15224.6344029115,14236.8795695291
17123.5075831547,16773.6983702769
16689.8676572734,16426.8821873714
15389.8322399469,14346.1023290021
14706.1419009161,16742.1180379073
15780.5153163483,14610.0692929214
14673.2060488544,16988.27234367
16705.3677074989,16222.7418538998
13930.5767606502,14458.0906915924
10374.2346882653,17421.1928824945
12471.0625302516,16506.0737504442
16079.7427162378,13966.3199907676
16837.1854550292,17310.2321234551
13596.1510381106,17061.0916353243
17125.0549037986,16784.2670546516
12700.0869189766,15941.7126322135
15414.005023663,16379.6957106021
11477.1721060895,12133.1194927485
15458.3926969916,15375.2146262036
14544.6352395052,12514.4667303005
13071.4443155136,15259.6361264146
13980.9796947817,13049.1555667036
16186.5801927298,15177.7494989468
12835.7480971687,13353.5046475622
18944.2164010835,18053.6900681731
12499.6851849294,14442.1204606879
17588.7386511912,13994.7891179866
10108.8776867828,13192.9494538329
16816.0715575068,14833.2490606085
19305.8502297291,19225.0402254153
19249.633621095,15659.0218251438
16556.5978986264,17320.1606996511
18923.2130183241,19231.2199393007
14273.0749225064,14589.8333881884
15967.4711876464,15460.0880146012
