species,isothermality,precip_seasonality,solar_radiation,soil_pH
albicans,75.753059387207,107,17712.833984375,55.680721282959
albicans,70.6652526855469,77,15883.25,69.1144561767578
albicans,76.1727142333984,44,15389.9169921875,48
albicans,79.5256652832031,114,17633.916015625,59.5451812744141
albicans,63.0384254455566,150,19236.333984375,70.7078323364258
albicans,81.2864456176758,71,16736.333984375,56.8253021240234
albicans,73.2238464355469,58,14895.25,48
albicans,76.237548828125,95,17785.75,59
albicans,64.6564407348633,58,14895.9169921875,54
albicans,66.1958389282227,49,15490.8330078125,60.4909629821777
albicans,65.0309829711914,56,14531.1669921875,54.4879531860352
albicans,63.9781761169434,51,15480.25,52
albicans,70.1780395507812,76,16722.25,52
albicans,71.7122421264648,80,17429.833984375,53.0451812744141
albicans,80.1768188476562,45,16686.083984375,52.8765068054199
albicans,69.9292755126953,69,14527.75,50.8885536193848
albicans,83.3734588623047,63,16074.5,47
albicans,72.0205154418945,66,14962.5830078125,45.9969863891602
albicans,80.7649459838867,65,14402.75,64
albicans,63.450927734375,32,15446.0830078125,56
albicans,79.8557815551758,71,16728.666015625,57.0271072387695
albicans,69.5812911987305,56,14208.4169921875,50.5993957519531
albicans,69.0164260864258,85,15962.0830078125,53.4066276550293
albicans,60.0569763183594,48,15100,56
albicans,81.9321823120117,82,16586.916015625,56.3554229736328
albicans,66.4558563232422,68,15547.75,54.774097442627
albicans,73.8541870117188,96,17584,60.8765068054199
albicans,64.182861328125,59,15624.9169921875,55
albicans,67.8959503173828,59,20800.083984375,80
albicans,69.2246246337891,67,14445.1669921875,43.0512046813965
albicans,59.4020767211914,49,16467.416015625,65.8825302124023
albicans,72.7531356811523,62,19765.083984375,60.0451812744141
albicans,70.5120315551758,68,17305.25,67
albicans,76.8225250244141,96,17880.833984375,52.4066276550293
albicans,68.4857635498047,76,14416.4169921875,45.4126510620117
albicans,86.8674545288086,49,15889.6669921875,47.2379531860352
albicans,63.5952491760254,60,15345.8330078125,56.2560234069824
albicans,70.3699798583984,87,16459.25,55.7289161682129
albicans,70.633415222168,63,15812.8330078125,55.6897583007812
albicans,63.0884742736816,66,15422.0830078125,56
albicans,85.4246444702148,64,15911.8330078125,46.2198791503906
albicans,61.2031593322754,54,18154.666015625,56
albicans,60.1790046691895,99,15994.4169921875,54.3795166015625
albicans,66.7232513427734,110,18067.25,68
albicans,63.5393104553223,84,20848.5,81.2740936279297
albicans,67.7934036254883,178,20973.333984375,83
albicans,69.3822402954102,77,16321.1669921875,54.3072280883789
albicans,68.5994338989258,84,17610.75,55
albicans,70.4318237304688,72,16673.25,50
albicans,63.0702705383301,57,15537.1669921875,62.3644561767578
albicans,73.0640563964844,83,15668.4169921875,50.4066276550293
albicans,65.7425689697266,26,15804.4169921875,60.5451812744141
albicans,68.346076965332,131,18546.083984375,67.7801208496094
albicans,69.2913055419922,77,15694.75,55
albicans,65.1899261474609,56,15292.25,59.5813255310059
albicans,63.6991233825684,67,15034.5,55
albicans,77.2460327148438,48,15777.4169921875,49.2469863891602
albicans,82.1384963989258,84,16527.666015625,54
albicans,69.9231338500977,81,17246.333984375,56
albicans,83.9272842407227,54,16069.9169921875,54.0421676635742
albicans,64.5795822143555,55,15125.0830078125,55
albicans,77.3281326293945,85,17539,50
albicans,70.0633773803711,63,19129,56.033130645752
albicans,61.5881385803223,101,21406.916015625,80.7439727783203
albicans,81.9645004272461,59,16781.833984375,45.2620468139648
albicans,81.6502838134766,60,16378.4169921875,56.8222885131836
albicans,70.9892272949219,55,16066.6669921875,50.4427719116211
albicans,69.2463760375977,69,14307.5,48
albicans,77.4800109863281,50,18171.083984375,51.5
albicans,79.9069366455078,76,18602.916015625,56.8072280883789
albicans,67.3162536621094,93,18207.583984375,66.602409362793
albicans,64.9615097045898,50,14641.1669921875,52.9608421325684
albicans,83.0683822631836,55,18469.5,53
albicans,64.6255493164062,143,19136.166015625,80.9819259643555
albicans,64.1142654418945,55,15638.5830078125,61.725902557373
albicans,63.594425201416,58,15428,57
albicans,91.6786956787109,39,17337.833984375,48.9427719116211
albicans,64.0471038818359,43,15793.3330078125,54.7891578674316
albicans,65.3076858520508,84,15574.8330078125,52
albicans,84.5683288574219,43,17349.75,59.1596374511719
albicans,77.6514129638672,70,16642.083984375,49.7289161682129
albicans,67.2074813842773,77,15577.3330078125,52.7319259643555
albicans,73.9936981201172,57,14921.9169921875,46
albicans,71.0060577392578,89,17336.25,58.5963859558105
albicans,80.4612808227539,42,18142,50.6897583007812
albicans,59.6800537109375,86,16109.9169921875,62
albicans,65.2210235595703,82,15527.75,52
albicans,68.827507019043,88,18269.166015625,59.1897583007812
albicans,67.3458633422852,154,20587,81.2018051147461
albicans,64.8468322753906,68,18769.416015625,57.921688079834
albicans,70.3429336547852,80,15726.4169921875,51.8222885131836
albicans,63.0547103881836,79,14599.25,50.5
albicans,69.7689743041992,81,17951.5,55
albicans,69.7371292114258,68,15925.25,51.1174697875977
albicans,68.0301666259766,88,15604.9169921875,53.7680740356445
albicans,67.3642883300781,87,16701,54.6957817077637
albicans,63.4613914489746,45,15774.9169921875,53.0753021240234
albicans,68.6009292602539,73,14464.6669921875,43.8253021240234
albicans,66.1819686889648,66,14889.8330078125,54.0572280883789
albicans,60.0905494689941,68,16085.5,68
alborufescens,88.8868408203125,41,15093,48.9337348937988
alborufescens,67.6232299804688,72,15761.25,54.725902557373
alborufescens,85.3908462524414,52,18024.333984375,56
alborufescens,70.5224075317383,94,17161.666015625,56.9969863891602
alborufescens,79.1353149414062,70,18009.25,66
alborufescens,64.9065170288086,46,16467.333984375,67
alborufescens,71.3785171508789,46,17165.833984375,67.406623840332
alborufescens,86.6981201171875,58,16301.4169921875,47
alborufescens,69.4610900878906,87,16299.3330078125,57
alborufescens,80.2739639282227,64,17519.083984375,61.7228927612305
alborufescens,79.7157516479492,63,18213.583984375,61.7620468139648
alborufescens,68.5102310180664,46,17672,67
alborufescens,65.6935653686523,84,15126.75,51.8584327697754
alborufescens,90.576042175293,33,17144.666015625,49.2319259643555
alborufescens,79.9466094970703,48,15224.5,43
alborufescens,83.4367446899414,44,16708.583984375,51.1867485046387
